caseid,presvote,partyid,BushFT,ClintonFT,PerotFT
5545,1,5,70,30,85
5546,1,7,100,0,0
5548,1,6,70,35,40
5550,1,7,85,60,50
5552,1,6,90,30,10
5553,3,4,15,40,85
5554,1,5,70,40,15
5555,3,1,70,60,30
5556,2,1,0,100,50
5558,1,6,40,0,90
5559,1,7,90,0,0
5560,1,7,60,60,0
5562,1,5,70,50,50
5563,1,5,100,60,70
5564,1,5,60,30,50
5567,3,5,85,0,70
5568,2,2,0,60,0
5569,1,7,85,40,50
5570,2,3,0,70,40
5571,2,2,60,70,15
5572,1,6,85,15,50
5574,3,6,70,15,85
5575,3,6,60,15,15
5576,2,1,50,50,30
5578,1,3,60,30,30
5579,2,1,70,70,50
5580,1,2,70,50,50
5581,2,2,0,75,50
5583,2,3,0,100,50
5584,2,3,0,70,50
5586,2,2,40,85,0
5587,1,1,100,50,0
5588,3,6,50,50,70
5589,2,3,60,60,30
5590,3,5,70,30,85
5591,3,6,70,30,60
5594,2,1,15,85,70
5595,1,7,85,15,40
5596,1,5,75,10,50
5597,3,6,60,40,50
5598,1,6,60,50,60
5599,2,3,0,75,30
5602,2,4,15,60,50
5603,3,4,60,60,100
